resource_id,resource_type,subject,topic,learning_goal,vark_visual,vark_auditory,vark_reading,vark_kinesthetic,difficulty_level,effectiveness_rating,url,description,duration_minutes,has_visuals,has_audio,has_text,is_interactive,user_ratings_average,completion_rate,time_spent_average,vark_dominant_style
EDU_000138,assessment,Chemistry,Atomic Structure,Develop research and inquiry skills,89,39,38,59,Expert,3.2,https://www.mathsisfun.com/definitions/,Chemistry - Atomic Structure: Develop research and inquiry skills,27,False,False,False,False,4.95,0.76,32.1,vark_visual
EDU_000127,webinar,Chemistry,Physical Chemistry,Connect concepts to everyday experiences,36,70,7,51,Expert,3.9,https://www.edx.org/learn/math,Chemistry - Physical Chemistry: Connect concepts to everyday experiences,38,False,True,False,False,3.51,0.81,33.8,vark_auditory
EDU_000939,podcast,Environmental Science,Environmental Policy,Prepare for standardized tests and assessments,53,98,9,6,Beginner,4,https://www.bbc.co.uk/programmes/b006qykl,Environmental Science - Environmental Policy: Prepare for standardized tests and assessments,75,False,True,False,False,3.68,0.61,73.5,vark_auditory
EDU_000942,webinar,Environmental Science,Renewable Energy,Understand fundamental concepts and principles,69,43,33,36,Beginner,4.6,https://www.ted.com/talks,Environmental Science - Renewable Energy: Understand fundamental concepts and principles,39,False,True,False,False,4.28,0.68,46.3,vark_visual
EDU_000945,video,Environmental Science,Resource Management,Apply knowledge to solve real-world problems,54,17,83,25,Beginner,3.9,https://www.youtube.com/channel/UCoxcjq-8xIDTYp3uz647V5A,Environmental Science - Resource Management: Apply knowledge to solve real-world problems,55,True,True,False,False,4.43,0.74,48.9,vark_reading
EDU_000950,video,Environmental Science,Environmental Policy,Build foundation for advanced study,40,2,3,92,Beginner,3.3,https://www.youtube.com/channel/UC7_gcs09iThXybpVgjHZ_7g,Environmental Science - Environmental Policy: Build foundation for advanced study,46,True,True,False,False,4.71,0.91,46.9,vark_kinesthetic
EDU_000951,webinar,Environmental Science,Environmental Health,Build foundation for advanced study,34,66,36,15,Beginner,3.3,https://www.edx.org/learn/math,Environmental Science - Environmental Health: Build foundation for advanced study,82,False,True,False,False,4.66,0.85,95.6,vark_auditory
EDU_000965,documentary,Environmental Science,Ecosystem Management,Build foundation for advanced study,45,65,35,36,Beginner,5,https://www.netflix.com/title/81254224,Environmental Science - Ecosystem Management: Build foundation for advanced study,23,False,False,False,False,4.87,0.75,27,vark_auditory
EDU_000968,infographic,Environmental Science,Ecosystem Management,Understand fundamental concepts and principles,49,74,10,42,Beginner,3.6,https://www.visualcapitalist.com/category/science/,Environmental Science - Ecosystem Management: Understand fundamental concepts and principles,29,True,False,False,False,4.66,0.75,28.8,vark_auditory
EDU_000979,project,Environmental Science,Climate Change,Understand fundamental concepts and principles,70,16,12,17,Beginner,3.8,https://www.mathsisfun.com/definitions/,Environmental Science - Climate Change: Understand fundamental concepts and principles,53,False,False,False,False,3.64,0.91,50.6,vark_visual
EDU_000977,virtual_lab,Environmental Science,Environmental Health,Build foundation for advanced study,34,26,67,32,Beginner,3.6,https://www.biologysimulations.com/,Environmental Science - Environmental Health: Build foundation for advanced study,33,False,False,False,True,4.57,0.65,34.6,vark_reading
EDU_000978,infographic,Environmental Science,Sustainability,Analyze and evaluate information critically,92,11,40,22,Beginner,4.2,https://www.khanacademy.org/math,Environmental Science - Sustainability: Analyze and evaluate information critically,52,True,False,False,False,4.95,0.92,61.7,vark_visual
EDU_000987,audio,Environmental Science,Green Technology,Foster creative thinking and innovation,15,74,59,31,Beginner,4.6,https://www.bbc.co.uk/programmes/b006qykl,Environmental Science - Green Technology: Foster creative thinking and innovation,53,False,True,False,False,4.81,0.75,63.1,vark_auditory
EDU_000990,audio,Environmental Science,Resource Management,Foster creative thinking and innovation,78,1,53,21,Beginner,4.4,https://www.khanacademy.org/math/algebra/x2f8bb11595b61c86:foundation,Environmental Science - Resource Management: Foster creative thinking and innovation,51,False,True,False,False,4.27,0.81,52,vark_visual
EDU_000982,assessment,Environmental Science,Resource Management,Develop research and inquiry skills,13,74,56,50,Beginner,3.9,https://www.prodigy.com/,Environmental Science - Resource Management: Develop research and inquiry skills,34,False,False,False,False,4.8,0.64,35.3,vark_auditory
EDU_000975,interactive_simulation,Environmental Science,Renewable Energy,Prepare for standardized tests and assessments,63,53,35,1,Beginner,4.5,https://www.epa.gov/education,Environmental Science - Renewable Energy: Prepare for standardized tests and assessments,77,False,False,False,True,4.23,0.84,70,vark_visual
EDU_000943,project,Environmental Science,Environmental Chemistry,Understand fundamental concepts and principles,54,35,93,13,Intermediate,4.2,https://brilliant.org/courses/,Environmental Science - Environmental Chemistry: Understand fundamental concepts and principles,44,False,False,False,False,3.62,0.83,46.4,vark_reading
EDU_000946,virtual_lab,Environmental Science,Renewable Energy,Apply knowledge to solve real-world problems,40,11,14,92,Intermediate,3.6,https://www.chemcollective.org/vlab,Environmental Science - Renewable Energy: Apply knowledge to solve real-world problems,38,False,False,False,True,4.66,0.9,32.2,vark_kinesthetic
EDU_000959,interactive_simulation,Environmental Science,Environmental Policy,Analyze and evaluate information critically,61,43,40,3,Beginner,3.7,https://www.khanacademy.org/science/biology/ecology,Environmental Science - Environmental Policy: Analyze and evaluate information critically,28,False,False,False,True,4.35,0.85,29.6,vark_visual
EDU_000962,podcast,Environmental Science,Pollution Control,Understand fundamental concepts and principles,40,39,51,79,Intermediate,3.4,https://www.ted.com/podcasts/ted-talks-daily,Environmental Science - Pollution Control: Understand fundamental concepts and principles,49,False,True,False,False,4.24,0.86,46.9,vark_kinesthetic
EDU_000970,case_study,Environmental Science,Pollution Control,Understand fundamental concepts and principles,19,39,88,9,Intermediate,4.3,https://brilliant.org/courses/,Environmental Science - Pollution Control: Understand fundamental concepts and principles,70,False,False,True,False,4.21,0.83,76.3,vark_reading
EDU_000981,virtual_lab,Environmental Science,Resource Management,Synthesize information from multiple sources,76,55,25,26,Intermediate,4.8,https://www.labxchange.org/,Environmental Science - Resource Management: Synthesize information from multiple sources,79,False,False,False,True,4.28,0.9,88.7,vark_visual
EDU_000983,interactive_simulation,Environmental Science,Environmental Health,Analyze and evaluate information critically,56,59,98,45,Intermediate,3.4,https://www.nationalgeographic.com/environment/,Environmental Science - Environmental Health: Analyze and evaluate information critically,88,False,False,False,True,4.74,0.69,102.2,vark_reading
EDU_000984,quiz,Environmental Science,Ecosystem Management,Apply knowledge to solve real-world problems,58,57,22,80,Intermediate,4.6,https://www.prodigy.com/,Environmental Science - Ecosystem Management: Apply knowledge to solve real-world problems,41,False,False,False,False,3.92,0.87,41.2,vark_kinesthetic
EDU_000949,infographic,Environmental Science,Resource Management,Build foundation for advanced study,78,59,37,6,Intermediate,3.9,https://www.khanacademy.org/math,Environmental Science - Resource Management: Build foundation for advanced study,33,True,False,False,False,3.64,0.72,31.2,vark_visual
EDU_000980,video,Environmental Science,Pollution Control,Understand fundamental concepts and principles,92,25,49,7,Intermediate,3.2,https://www.youtube.com/watch?v=dQw4w9WgXcQ,Environmental Science - Pollution Control: Understand fundamental concepts and principles,59,True,True,False,False,4.95,0.73,59,vark_visual
EDU_000941,podcast,Environmental Science,Conservation,Prepare for standardized tests and assessments,22,16,72,18,Advanced,4.9,https://podcasts.apple.com/us/podcast/radiolab/id152249110,Environmental Science - Conservation: Prepare for standardized tests and assessments,24,False,True,False,False,4.18,0.68,25.4,vark_reading
EDU_000940,animation,Environmental Science,Resource Management,Synthesize information from multiple sources,49,49,0,97,Advanced,4.5,https://www.youtube.com/channel/UCYO_jab_esuFRV4b17AJtAw,Environmental Science - Resource Management: Synthesize information from multiple sources,55,True,False,False,False,3.68,0.85,49.8,vark_kinesthetic
EDU_000948,webinar,Environmental Science,Resource Management,Connect concepts to everyday experiences,16,89,53,16,Advanced,4.6,https://www.edx.org/learn/math,Environmental Science - Resource Management: Connect concepts to everyday experiences,33,False,True,False,False,4.96,0.62,39,vark_auditory
EDU_000955,educational_game,Environmental Science,Sustainability,Prepare for standardized tests and assessments,63,16,55,43,Advanced,4.2,https://www.funbrain.com/games,Environmental Science - Sustainability: Prepare for standardized tests and assessments,89,False,False,False,True,4.28,0.65,94.6,vark_visual
EDU_000956,animation,Environmental Science,Environmental Health,Foster creative thinking and innovation,93,10,9,39,Advanced,4.2,https://www.youtube.com/channel/UCYO_jab_esuFRV4b17AJtAw,Environmental Science - Environmental Health: Foster creative thinking and innovation,53,True,False,False,False,4.01,0.87,59.8,vark_visual
EDU_000958,tutorial,Environmental Science,Conservation,Develop research and inquiry skills,56,10,21,97,Advanced,4.2,https://www.khanacademy.org/science/biology/ecology,Environmental Science - Conservation: Develop research and inquiry skills,38,False,False,False,False,4.62,0.9,44.6,vark_kinesthetic
EDU_000964,case_study,Environmental Science,Conservation,Synthesize information from multiple sources,55,30,3,62,Expert,3.5,https://www.khanacademy.org/math,Environmental Science - Conservation: Synthesize information from multiple sources,45,False,False,True,False,4.86,0.8,47.6,vark_kinesthetic
EDU_000944,interactive_simulation,Environmental Science,Biodiversity,Synthesize information from multiple sources,6,42,9,63,Expert,3.9,https://www.nationalgeographic.com/environment/,Environmental Science - Biodiversity: Synthesize information from multiple sources,36,False,False,False,True,4.96,0.79,30.4,vark_kinesthetic
EDU_000947,worksheet,Environmental Science,Ecosystem Management,Develop research and inquiry skills,96,41,22,0,Expert,3,https://www.education.com/worksheets/math/,Environmental Science - Ecosystem Management: Develop research and inquiry skills,71,False,False,True,False,4.57,0.92,59.5,vark_visual
EDU_000952,tutorial,Environmental Science,Ecosystem Management,Analyze and evaluate information critically,26,53,71,10,Expert,3.8,https://brilliant.org/environmental-science/,Environmental Science - Ecosystem Management: Analyze and evaluate information critically,13,False,False,False,False,4.88,0.61,10.6,vark_reading
EDU_000953,presentation,Environmental Science,Green Technology,Develop research and inquiry skills,58,73,8,18,Advanced,3.9,https://www.slideshare.net/topic/mathematics,Environmental Science - Green Technology: Develop research and inquiry skills,49,True,False,False,False,4.15,0.64,47.9,vark_auditory
EDU_000954,lecture,Environmental Science,Renewable Energy,Prepare for standardized tests and assessments,57,60,32,10,Advanced,4.1,https://www.nationalgeographic.com/environment/,Environmental Science - Renewable Energy: Prepare for standardized tests and assessments,21,False,True,False,False,4.24,0.86,22.8,vark_auditory
EDU_000957,quiz,Environmental Science,Climate Change,Foster creative thinking and innovation,57,29,61,58,Expert,4.1,https://www.ixl.com/math/,Environmental Science - Climate Change: Foster creative thinking and innovation,42,False,False,False,False,3.93,0.91,45.3,vark_reading
EDU_000960,quiz,Environmental Science,Resource Management,Prepare for standardized tests and assessments,56,67,25,20,Expert,3.3,https://www.prodigy.com/,Environmental Science - Resource Management: Prepare for standardized tests and assessments,45,False,False,False,False,3.6,0.67,38.3,vark_auditory
EDU_000961,webinar,Environmental Science,Environmental Policy,Foster creative thinking and innovation,19,52,11,63,Advanced,3.1,https://www.edx.org/learn/math,Environmental Science - Environmental Policy: Foster creative thinking and innovation,21,False,True,False,False,4.64,0.82,22.5,vark_kinesthetic
EDU_000963,lecture,Environmental Science,Pollution Control,Connect concepts to everyday experiences,35,96,11,55,Expert,3.9,https://www.nationalgeographic.com/environment/,Environmental Science - Pollution Control: Connect concepts to everyday experiences,10,False,True,False,False,4.19,0.85,8.9,vark_auditory
EDU_000966,text,Environmental Science,Ecosystem Management,Apply knowledge to solve real-world problems,66,7,12,4,Advanced,4.8,https://www.epa.gov/education,Environmental Science - Ecosystem Management: Apply knowledge to solve real-world problems,61,False,False,True,False,4.32,0.79,65.6,vark_visual
EDU_000967,animation,Environmental Science,Environmental Chemistry,Prepare for standardized tests and assessments,23,80,48,45,Beginner,4.3,https://www.desmos.com/calculator,Environmental Science - Environmental Chemistry: Prepare for standardized tests and assessments,86,True,False,False,False,4.05,0.95,68.8,vark_auditory
EDU_000969,virtual_lab,Environmental Science,Renewable Energy,Connect concepts to everyday experiences,34,73,47,11,Expert,4.3,https://www.chemcollective.org/vlab,Environmental Science - Renewable Energy: Connect concepts to everyday experiences,67,False,False,False,True,4.75,0.81,58.5,vark_auditory
EDU_000971,podcast,Environmental Science,Resource Management,Prepare for standardized tests and assessments,2,6,1,63,Expert,3.7,https://www.npr.org/podcasts/510289/planet-money,Environmental Science - Resource Management: Prepare for standardized tests and assessments,61,False,True,False,False,3.58,0.74,62.8,vark_kinesthetic
EDU_000972,infographic,Environmental Science,Resource Management,Apply knowledge to solve real-world problems,83,45,20,29,Advanced,4.5,https://www.khanacademy.org/math,Environmental Science - Resource Management: Apply knowledge to solve real-world problems,24,True,False,False,False,4.62,0.83,25.9,vark_visual
EDU_000973,virtual_lab,Environmental Science,Environmental Health,Prepare for standardized tests and assessments,17,2,78,52,Intermediate,3.7,https://www.biologysimulations.com/,Environmental Science - Environmental Health: Prepare for standardized tests and assessments,86,False,False,False,True,3.62,0.63,93.8,vark_reading
EDU_000974,presentation,Environmental Science,Pollution Control,Build foundation for advanced study,40,36,90,36,Expert,3.5,https://www.ted.com/talks/topics/math,Environmental Science - Pollution Control: Build foundation for advanced study,49,True,False,False,False,4.59,0.79,42,vark_reading
EDU_000976,quiz,Environmental Science,Environmental Policy,Prepare for standardized tests and assessments,8,9,32,91,Intermediate,4.3,https://www.ixl.com/math/,Environmental Science - Environmental Policy: Prepare for standardized tests and assessments,22,False,False,False,False,3.79,0.82,19.4,vark_kinesthetic
EDU_000986,project,Environmental Science,Conservation,Analyze and evaluate information critically,19,35,7,83,Advanced,4.7,https://brilliant.org/courses/,Environmental Science - Conservation: Analyze and evaluate information critically,39,False,False,False,False,4.37,0.63,44.8,vark_kinesthetic
EDU_000989,podcast,Environmental Science,Resource Management,Develop practical skills and competencies,19,22,29,93,Intermediate,4.1,https://podcasts.apple.com/us/podcast/stuff-you-should-know/id278981407,Environmental Science - Resource Management: Develop practical skills and competencies,60,False,True,False,False,4.77,0.89,67.8,vark_kinesthetic
EDU_000991,worksheet,Environmental Science,Green Technology,Prepare for standardized tests and assessments,66,47,32,21,Beginner,3,https://www.math-drills.com/,Environmental Science - Green Technology: Prepare for standardized tests and assessments,43,False,False,True,False,3.81,0.79,44.6,vark_visual
EDU_000992,webinar,Environmental Science,Green Technology,Build foundation for advanced study,92,49,51,50,Intermediate,3.6,https://www.futurelearn.com/subjects/maths-courses,Environmental Science - Green Technology: Build foundation for advanced study,52,False,True,False,False,4.61,0.88,44.2,vark_visual
EDU_000993,podcast,Environmental Science,Biodiversity,Develop practical skills and competencies,46,19,26,68,Expert,4.3,https://podcasts.apple.com/us/podcast/radiolab/id152249110,Environmental Science - Biodiversity: Develop practical skills and competencies,75,False,True,False,False,4.93,0.65,74.6,vark_kinesthetic
EDU_000994,animation,Environmental Science,Pollution Control,Develop research and inquiry skills,10,61,55,7,Intermediate,3.2,https://www.youtube.com/channel/UCYO_jab_esuFRV4b17AJtAw,Environmental Science - Pollution Control: Develop research and inquiry skills,49,True,False,False,False,4.33,0.84,47.1,vark_auditory
EDU_000995,tutorial,Environmental Science,Green Technology,Synthesize information from multiple sources,10,73,6,58,Advanced,3.7,https://www.khanacademy.org/science/biology/ecology,Environmental Science - Green Technology: Synthesize information from multiple sources,30,False,False,False,False,4.67,0.88,26.3,vark_auditory
EDU_000996,quiz,Environmental Science,Resource Management,Foster creative thinking and innovation,31,16,56,66,Advanced,4,https://brilliant.org/practice/,Environmental Science - Resource Management: Foster creative thinking and innovation,33,False,False,False,False,4.53,0.72,33.4,vark_kinesthetic
EDU_000997,tutorial,Environmental Science,Biodiversity,Analyze and evaluate information critically,98,12,50,54,Advanced,3.6,https://brilliant.org/environmental-science/,Environmental Science - Biodiversity: Analyze and evaluate information critically,47,False,False,False,False,3.73,0.87,38,vark_visual
EDU_000998,case_study,Environmental Science,Resource Management,Synthesize information from multiple sources,4,51,75,25,Advanced,3.8,https://www.mathsisfun.com/definitions/,Environmental Science - Resource Management: Synthesize information from multiple sources,48,False,False,True,False,4.86,0.89,45.6,vark_reading
EDU_000999,interactive_simulation,Environmental Science,Sustainability,Build foundation for advanced study,23,15,6,91,Expert,4.4,https://www.khanacademy.org/science/biology/ecology,Environmental Science - Sustainability: Build foundation for advanced study,31,False,False,False,True,3.62,0.75,25.7,vark_kinesthetic
EDU_001000,lecture,Environmental Science,Renewable Energy,Apply knowledge to solve real-world problems,27,79,48,57,Advanced,3.1,https://brilliant.org/environmental-science/,Environmental Science - Renewable Energy: Apply knowledge to solve real-world problems,13,False,True,False,False,4.47,0.8,15.4,vark_auditory
EDU_000881,webinar,Languages,Second Language Learning,Foster creative thinking and innovation,35,26,98,46,Beginner,4.3,https://www.ted.com/talks,Languages - Second Language Learning: Foster creative thinking and innovation,29,False,True,False,False,3.95,0.64,24.6,vark_reading
EDU_000887,audio,Languages,English,Build foundation for advanced study,76,57,0,22,Intermediate,3.9,https://www.khanacademy.org/math/algebra/x2f8bb11595b61c86:foundation,Languages - English: Build foundation for advanced study,37,False,True,False,False,4.19,0.69,38.3,vark_visual
EDU_000888,tutorial,Languages,Linguistics,Synthesize information from multiple sources,73,55,11,55,Intermediate,4.3,https://www.rosettastone.com/,Languages - Linguistics: Synthesize information from multiple sources,36,False,False,False,False,4.51,0.85,36.9,vark_visual
EDU_000889,presentation,Languages,Linguistics,Understand fundamental concepts and principles,3,24,43,71,Intermediate,3.1,https://www.khanacademy.org/math,Languages - Linguistics: Understand fundamental concepts and principles,56,True,False,False,False,4.47,0.76,63.7,vark_kinesthetic
EDU_000890,video,Languages,Hindi,Foster creative thinking and innovation,39,24,72,26,Expert,5,https://www.youtube.com/watch?v=dQw4w9WgXcQ,Languages - Hindi: Foster creative thinking and innovation,58,True,True,False,False,4.73,0.72,50,vark_reading
EDU_000891,virtual_lab,Languages,Linguistics,Develop practical skills and competencies,46,25,61,10,Expert,3.2,https://www.biologysimulations.com/,Languages - Linguistics: Develop practical skills and competencies,30,False,False,False,True,3.8,0.86,27.5,vark_reading
EDU_000892,podcast,Languages,Chinese,Develop practical skills and competencies,25,59,87,37,Intermediate,4.9,https://www.ted.com/podcasts/ted-talks-daily,Languages - Chinese: Develop practical skills and competencies,84,False,True,False,False,3.71,0.85,69.1,vark_reading
EDU_000893,research_paper,Languages,Korean,Apply knowledge to solve real-world problems,51,14,99,59,Expert,3.1,https://www.mathsisfun.com/definitions/,Languages - Korean: Apply knowledge to solve real-world problems,59,False,False,True,False,4,0.73,66.8,vark_reading
EDU_000894,podcast,Languages,Translation Studies,Synthesize information from multiple sources,80,14,22,18,Advanced,3.3,https://www.npr.org/podcasts/510289/planet-money,Languages - Translation Studies: Synthesize information from multiple sources,30,False,True,False,False,4.32,0.66,34.3,vark_visual
EDU_000895,educational_game,Languages,German,Understand fundamental concepts and principles,86,13,11,40,Expert,4.1,https://www.abcya.com/grades/k,Languages - German: Understand fundamental concepts and principles,56,False,False,False,True,3.93,0.92,47.7,vark_visual
EDU_000896,infographic,Languages,Translation Studies,Synthesize information from multiple sources,34,25,8,74,Advanced,4.5,https://www.mathsisfun.com/,Languages - Translation Studies: Synthesize information from multiple sources,42,True,False,False,False,4.53,0.67,42.9,vark_kinesthetic
EDU_000897,infographic,Languages,Russian,Apply knowledge to solve real-world problems,52,74,34,33,Intermediate,3.2,https://www.mathsisfun.com/,Languages - Russian: Apply knowledge to solve real-world problems,77,True,False,False,False,4.83,0.6,83.8,vark_auditory
EDU_000898,webinar,Languages,Japanese,Analyze and evaluate information critically,97,11,54,16,Advanced,4.9,https://www.futurelearn.com/subjects/maths-courses,Languages - Japanese: Analyze and evaluate information critically,25,False,True,False,False,4.1,0.83,20.7,vark_visual
EDU_000899,project,Languages,German,Synthesize information from multiple sources,47,100,9,50,Intermediate,4.2,https://www.khanacademy.org/math,Languages - German: Synthesize information from multiple sources,38,False,False,False,False,3.93,0.81,36.4,vark_auditory
EDU_000900,worksheet,Languages,English,Understand fundamental concepts and principles,7,36,85,31,Intermediate,3.2,https://www.superteacherworksheets.com/math.html,Languages - English: Understand fundamental concepts and principles,63,False,False,True,False,4.1,0.9,68.4,vark_reading
EDU_000901,case_study,Languages,Spanish,Connect concepts to everyday experiences,13,50,61,21,Advanced,3.1,https://www.mathsisfun.com/definitions/,Languages - Spanish: Connect concepts to everyday experiences,49,False,False,True,False,4.03,0.92,49.8,vark_reading
EDU_000902,project,Languages,Hindi,Connect concepts to everyday experiences,10,78,57,32,Advanced,4.7,https://www.instructables.com/circuits/science/,Languages - Hindi: Connect concepts to everyday experiences,50,False,False,False,False,4.52,0.78,48.3,vark_auditory
EDU_000903,podcast,Languages,Second Language Learning,Connect concepts to everyday experiences,63,44,41,16,Expert,3.8,https://www.bbc.co.uk/programmes/b006qykl,Languages - Second Language Learning: Connect concepts to everyday experiences,23,False,True,False,False,4.55,0.88,20.1,vark_visual
EDU_000904,video,Languages,Arabic,Develop practical skills and competencies,89,37,4,51,Expert,4.3,https://www.edx.org/course/introduction-computer-science-harvardx-cs50x,Languages - Arabic: Develop practical
